age,income,credit_score,loan_amount,employment_years,loan_approval
45,5000,700,20000,5,1
35,4500,680,15000,3,1
28,3000,650,10000,2,1
50,6000,750,30000,10,1
32,2500,600,5000,1,0
42,4000,700,18000,4,1
29,3500,620,12000,2,0
55,7000,780,35000,15,1
26,2000,550,8000,1,0
38,4200,720,22000,6,1
31,2800,610,9000,2,0
48,5500,740,25000,8,1
27,1500,500,5000,0,0
40,3800,700,16000,5,1
33,3200,630,11000,3,0
52,6500,760,32000,12,1
30,2200,580,7000,1,0
44,4800,730,24000,7,1
25,1800,520,4000,0,0
36,3600,710,14000,4,1
